gene,go_annotation,class
CACNA1D,GO:0086091;GO:0086003;GO:0086012;GO:0086002;GO:0086001;GO:0043266;GO:0070588;GO:0006816;GO:0086010;GO:0070509;GO:0043270;GO:1901379;GO:0086046;GO:0045761;GO:0099623;GO:0045762;GO:0086015;GO:0098662;GO:1904062;GO:0030001;GO:0051924;GO:0031281;GO:0051349;GO:0090276;GO:1901016;GO:0060372;GO:0051928;GO:0050708;GO:0050954;GO:0007605;GO:0050796;GO:0007188;GO:0032412,nc
ZNF536,GO:0010468;GO:0045892;GO:2000112;GO:1903506;GO:0000122;GO:0006355;GO:0006357,ger
CNTNAP4,GO:0050804;GO:0032228,nc
SH2B3,GO:0070100;GO:0070099;GO:1904893;GO:0051898;GO:1902532;GO:0048523;GO:0035855;GO:0051896;GO:0098751;GO:0090331;GO:0042532;GO:0046425;GO:0034111;GO:0060761;GO:0048821;GO:0030219;GO:0043409;GO:0030097;GO:0035162;GO:1990868;GO:0001960;GO:0010544;GO:0046426;GO:0090330;GO:0061515;GO:0042509;GO:0060759;GO:0050732;GO:0043405;GO:0030218;GO:0043407;GO:0070098;GO:1990869;GO:0048585;GO:0048568;GO:0008285;GO:0071901;GO:0042127;GO:0019221;GO:0071345,nc
ROBO2,GO:0007411;GO:0007409;GO:0098742;GO:0007399;GO:0007156;GO:0031346;GO:0050769;GO:0051963;GO:0050772;GO:0050922;GO:0050770;GO:0007420;GO:0007417;GO:0016198;GO:0031290;GO:0003148;GO:0035904;GO:0003184;GO:0003177;GO:0045747;GO:0060840;GO:0060412;GO:1905809;GO:0003180;GO:0003176;GO:0003281;GO:0021884;GO:0072164;GO:0051961;GO:0001657;GO:1901889;GO:0032870;GO:0001656;GO:0071310;GO:0001822,nc
PLXNA2,GO:0007411;GO:0071526;GO:1902285;GO:0031346;GO:1902287;GO:0050769;GO:0007162;GO:0050772;GO:0030334;GO:0050770;GO:0030155;GO:2000145;GO:0051336;GO:0043087;GO:0048523,nc
CNTN4,GO:0007411;GO:0007409;GO:0098742;GO:0007399;GO:0007156;GO:0048812;GO:0061564;GO:0007158;GO:0048667;GO:0007420;GO:0007417;GO:0070593;GO:0106030;GO:0007413;GO:0031175;GO:0048666;GO:0045664;GO:0120036;GO:0045665;GO:0045596,nsd
NRCAM,GO:0007416;GO:0007409;GO:0050808;GO:0007399;GO:0034329;GO:0048812;GO:0061564;GO:0048667;GO:0001764;GO:0007417;GO:0106030;GO:0007413;GO:0048699;GO:0045161;GO:0045664;GO:0048638;GO:0030516;GO:0061387;GO:0045666;GO:0045597,nsd
NDST3,GO:0015012;GO:0015014;GO:0030201;GO:0033692;GO:0030166,gly
CHRNA5,GO:0007268;GO:0098916;GO:0007271,nc
SEC16B,GO:0010604;GO:0070972;GO:0070973;GO:0016559;GO:0070861;GO:0070863;GO:0010628;GO:0048208;GO:0006901;GO:0048207;GO:0010468;GO:0090114;GO:0007031;GO:0048285;GO:0010256;GO:0006888;GO:0065003;GO:0090316;GO:0007029;GO:0007030;GO:0006996,ger
LMTK2,GO:0007409;GO:0048812;GO:0061564;GO:0048667;GO:0001881;GO:0007169;GO:0043549;GO:0007167;GO:0033674;GO:0042327;GO:0051347;GO:0043112;GO:0046777;GO:0018107;GO:0016482;GO:0016310;GO:0045022;GO:0018210;GO:0018105;GO:0033572;GO:0018209;GO:0006468;GO:0006826;GO:0032456;GO:0006464;GO:0015031,nc
PARD3B,GO:0051660;GO:0035088;GO:0045197,
CTNNA3,GO:0086091;GO:0086004;GO:0098901;GO:0098911;GO:0086073;GO:0086042;GO:0086069;GO:0034113,nc
GABRA2,GO:0007268;GO:0098916;GO:0007416;GO:0060078;GO:1904862;GO:0051932;GO:1902476;GO:0098661;GO:0006836;GO:0006821,nc
CSMD3,GO:0050773;GO:0010975,nsd
PTPRT,GO:0098742;GO:0007156;GO:0030334;GO:1904893;GO:0030336;GO:0007169;GO:0007167;GO:2000146;GO:1990264;GO:1904892;GO:0070741;GO:0071354;GO:0006470;GO:0016311;GO:0035335;GO:0006469;GO:0009968;GO:0006464;GO:0071345,nc
DCC,GO:0007411;GO:0007409;GO:0048812;GO:0061564;GO:0048667;GO:0050773;GO:0010975;GO:1901214;GO:0048640;GO:0051093;GO:0010977;GO:0050771;GO:0048671;GO:0048670;GO:0031345;GO:0097192;GO:0010941;GO:0030308;GO:0097191;GO:0009968;GO:0006915,nc
PKHD1,GO:0045216;GO:0030155;GO:0051660;GO:0034330;GO:0022407;GO:0055074;GO:0006874;GO:0006875;GO:0051898;GO:0072503;GO:0070372;GO:1902532;GO:0051270;GO:0048523;GO:0120031;GO:0060562;GO:0051896;GO:1904036;GO:0050679;GO:2000027;GO:1904035;GO:0048754;GO:0051271;GO:0003382;GO:0043408;GO:0001952;GO:0044782;GO:0002064;GO:0046605;GO:0000904;GO:0000132;GO:0040001;GO:0051294;GO:0010824;GO:0010810;GO:0060271;GO:0070925;GO:0032006;GO:0032088;GO:0090175;GO:0050678;GO:1902531;GO:0042127;GO:0048522;GO:0008284;GO:0043433;GO:0042981;GO:0043069;GO:0043066,ger
RGS8,GO:0095500;GO:0043087;GO:0007213;GO:0009966;GO:0060159;GO:0051345;GO:0043547,nc
SEMA6A,GO:0007411;GO:0007409;GO:0007399;GO:0071526;GO:0007162;GO:0030334;GO:0050922;GO:0048841;GO:0014032;GO:0030517;GO:0050919;GO:0048843;GO:0001755;GO:0001667;GO:1900746;GO:2001222;GO:2000147;GO:0070372;GO:0030335;GO:1900747;GO:1903671;GO:1902548;GO:0043409;GO:0070373;GO:2001224;GO:0045765;GO:0007010;GO:2000181;GO:0016525;GO:1903670;GO:0035924;GO:0071363;GO:0009968;GO:0006915;GO:0006996,nc
GABRG1,GO:0007268;GO:0098916;GO:0060078;GO:0051932;GO:1902476;GO:0098661;GO:0006821,nc
CAMK2D,GO:2001257;GO:0086091;GO:0086004;GO:0086003;GO:0098901;GO:1902514;GO:0010880;GO:1901897;GO:0010649;GO:1901019;GO:0010881;GO:0010882;GO:1903169;GO:0060314;GO:0051279;GO:1901844;GO:0006874;GO:0010613;GO:0071248;GO:1902305;GO:0051592;GO:0060333;GO:0071277;GO:0060048;GO:1901725;GO:1901077;GO:0010646;GO:0098909;GO:0010766;GO:2000649;GO:0070252;GO:1902306;GO:2000650;GO:0010665;GO:0051128;GO:0008016;GO:0055119;GO:0031063;GO:0090075;GO:0046777;GO:0014742;GO:0018107;GO:1904063;GO:0003254;GO:0016310;GO:0032469;GO:0018210;GO:0032413;GO:0071346;GO:0010611;GO:0050801;GO:0001558;GO:1903522;GO:0018105;GO:0018209;GO:0006468;GO:0060341;GO:1900034;GO:0080135;GO:0006464;GO:0019221;GO:0006355;GO:0006357,ger
RGS7,GO:0043087;GO:0051345;GO:0043547,
STK19,GO:0046579;GO:0051057;GO:0046578;GO:0016310;GO:0006468;GO:0006464,nc
HLA-F,GO:1901214;GO:0060333;GO:0002484;GO:0002486;GO:0002727;GO:0002729;GO:0002480;GO:0043301;GO:0002725;GO:0002716;GO:0002483;GO:0002710;GO:0043302;GO:0001911;GO:0032816;GO:0045953;GO:0002719;GO:0002724;GO:0045954;GO:0071346;GO:0002717;GO:0001916;GO:0001914;GO:0042269;GO:0002474;GO:0002720;GO:0002711;GO:0002478;GO:0001912;GO:0071357;GO:0060337;GO:0002479;GO:0042590;GO:0060548;GO:1901215;GO:0050776;GO:0019221,ger
SYNGAP1,GO:0046578;GO:0051058;GO:0000165;GO:0046580,nc
CDH7,GO:0098742;GO:0034329;GO:0016339;GO:0045216;GO:0034332;GO:0007043,cca
DSCAM,GO:0007411;GO:0007416;GO:0007409;GO:0050808;GO:0098742;GO:0007399;GO:0007156;GO:0034329;GO:0007162;GO:0048841;GO:0030155;GO:0070593;GO:0048842;GO:0001754;GO:0050921;GO:0045773;GO:0048523;GO:0060219;GO:0042327;GO:0045937;GO:0042325,nsd
PDE4B,GO:0086004;GO:1901841;GO:1901897;GO:1901385;GO:1901078;GO:0071870;GO:0032663;GO:0071872;GO:0071871;GO:1903115;GO:0055117;GO:0032743;GO:0032729;GO:0050852;GO:0050851;GO:0035690;GO:1901701;GO:0032649;GO:0071396;GO:0030593;GO:0071621;GO:1990266;GO:0071219;GO:0071222;GO:0001819;GO:0032496,ger
DCDC2,GO:0048812;GO:0048667;GO:0001764;GO:0009967;GO:0048699;GO:0048813;GO:0009966;GO:0120031;GO:0050954;GO:0007605;GO:0044782;GO:0045880;GO:0030111;GO:0060271;GO:0006968;GO:0008589;GO:0070925;GO:1902017;GO:0120032;GO:1902115,nc
SLC6A16,GO:0006836;GO:0098662;GO:0035725;GO:0006814,ion
ROBO1,GO:0007411;GO:0007409;GO:0098742;GO:0007399;GO:0007156;GO:0031346;GO:0050769;GO:0050772;GO:0030334;GO:0050922;GO:0050770;GO:0050919;GO:0009967;GO:0016198;GO:1900746;GO:0070100;GO:1900748;GO:0010604;GO:0070099;GO:0003148;GO:0002040;GO:0035904;GO:0030336;GO:0003184;GO:0003177;GO:0002042;GO:0045747;GO:0051241;GO:0060840;GO:0043534;GO:0060412;GO:0046579;GO:0035385;GO:0003180;GO:2000146;GO:0050680;GO:0003176;GO:0003281;GO:0033599;GO:0010628;GO:0001960;GO:0043410;GO:0010468;GO:0035025;GO:0043405;GO:0043406;GO:0035023;GO:0006919;GO:0071902;GO:0043280;GO:0010629;GO:0010605,ger
PDE3A,GO:0019935;GO:0043951;GO:0019933;GO:0071407;GO:0071417;GO:0043949;GO:0019934;GO:1902532;GO:0071321;GO:0070305;GO:2000243;GO:0043116;GO:0043117;GO:1901701;GO:0071363;GO:0010720;GO:0071560,nc
KIRREL3,GO:0007416;GO:0050808;GO:0098742;GO:0007399;GO:0007156;GO:0034329;GO:0030097,nsd
CDH18,GO:0098742;GO:0034329;GO:0016339;GO:0045216;GO:0034332;GO:0007043,cca
CATSPERD,GO:0048545;GO:0032570;GO:1901654,
RGS4,GO:0009966;GO:0008277,nc
PLCE1,GO:0048015;GO:0007200;GO:0019751;GO:0043647;GO:0007204;GO:0048017;GO:1902745;GO:0009966;GO:0006940;GO:0046339;GO:0010592;GO:0043549;GO:0006937;GO:0019722;GO:0038127;GO:0010591;GO:0006796;GO:0006651;GO:0072359;GO:0008277;GO:0120034;GO:0046578;GO:0051128;GO:0001932;GO:0007507;GO:0048016;GO:0007010;GO:0046463;GO:0051480;GO:0019932;GO:0001558;GO:0045859;GO:0007173;GO:0051056;GO:0007265;GO:0007264;GO:0006996,nc
PLXNA4,GO:0007411;GO:0071526;GO:1902285;GO:0031346;GO:1902287;GO:0050769;GO:0007162;GO:0050772;GO:0030334;GO:0050770;GO:0030155;GO:2000145;GO:0051336;GO:0043087;GO:0048523,nc
RIMS2,GO:0050804;GO:0050806;GO:2000463;GO:0098815;GO:0010647;GO:0019935;GO:0009967;GO:0019933;GO:0007269;GO:0048791;GO:0031646;GO:0023056;GO:2000300;GO:0016079;GO:0010604;GO:0046928;GO:1903861;GO:1903859;GO:0048639;GO:0017156;GO:1903305;GO:0045055;GO:0017157;GO:0010628;GO:0030307;GO:1903530;GO:0030073;GO:0010468;GO:0030072;GO:0060627;GO:0009306,ger
ANK3,GO:0007409;GO:0050808;GO:2001257;GO:0048812;GO:0061564;GO:0048667;GO:0010647;GO:0043266;GO:0071709;GO:0007528;GO:0010649;GO:0043270;GO:0099612;GO:1902259;GO:0072657;GO:0010960;GO:0019228;GO:0001508;GO:0010604;GO:0043269;GO:0002028;GO:2001259;GO:1904064;GO:0071248;GO:0072507;GO:0071286;GO:1904181;GO:0044091;GO:0034112;GO:2000649;GO:0032026;GO:0045838;GO:1902260;GO:0055065;GO:0072659;GO:1903817;GO:0022409;GO:1990778;GO:0006893;GO:1902307;GO:0034110;GO:0010765;GO:0010628;GO:2000651;GO:0010468;GO:0061024;GO:0090314;GO:0032414;GO:0010256;GO:0022607;GO:0090313;GO:0043001;GO:0061951;GO:1905477;GO:0000281;GO:0006888;GO:0007009;GO:0090316;GO:0061640;GO:0015031,ger
GABRA1,GO:0007268;GO:0098916;GO:0007416;GO:0060078;GO:1904862;GO:0051932;GO:1902476;GO:0098661;GO:0006821,nc
NRSN1,GO:0007399,nsd
PTCHD1,GO:0007268;GO:0098916;GO:0050890;GO:0007224,nc
SGCZ,GO:0048738;GO:0060047;GO:0003015;GO:0007507;GO:0061024;GO:0055001;GO:0014706;GO:0042692;GO:0008015,
SCN1A,GO:0086003;GO:0086002;GO:0086001;GO:0086010;GO:0019228;GO:0001508;GO:0098662;GO:0035725;GO:0006814;GO:0051899;GO:0062149;GO:0050974;GO:0006812,nc
GRM1,GO:0007268;GO:0098916;GO:0007215;GO:0050804;GO:0051966;GO:0007216;GO:0007200;GO:0007204;GO:0051482,nc
HOMER3,GO:0007215;GO:0007216;GO:0032663;GO:0051924;GO:0032703;GO:0070884;GO:2001256;GO:0106057;GO:0070885;GO:0006605;GO:0001818;GO:0006886,ger
ZBTB38,GO:0010468;GO:1903507;GO:0006275;GO:0045892;GO:2000112;GO:2000113;GO:1903506;GO:0045944;GO:0006974;GO:0045893;GO:0006355;GO:0006357,ger
SEMA4G,GO:0007411;GO:0007409;GO:0071526;GO:0030334;GO:0050922;GO:0048841;GO:0014032;GO:0030517;GO:0050919;GO:0048843;GO:0001755;GO:0001667;GO:2000147;GO:0030335,nc
CARF,GO:0035865;GO:0035864;GO:0071248;GO:0051592;GO:0071277;GO:1901522;GO:0006355;GO:0006357,ger
NOVA2,GO:0000381;GO:0019219;GO:0051241;GO:0048024;GO:0051252;GO:0120163;GO:0009892;GO:0010468;GO:0060255;GO:0000377;GO:0000398;GO:0006397,ger
KCNH6,GO:0086091;GO:0098662;GO:0006813;GO:0071805,nc
NAV3,GO:0007399;GO:0030334;GO:0032663;GO:0030336;GO:0032703;GO:0031114;GO:2000146;GO:1902905;GO:0007026;GO:0032273;GO:1901880;GO:0031112;GO:0031116;GO:0031111;GO:0031113;GO:0001818;GO:1902904,ger
HLA-DQB2,GO:0060333;GO:0050852;GO:0071346;GO:0050851;GO:0002478;GO:0019886;GO:0002495;GO:0019221,nc
PLCB1,GO:0007215;GO:0095500;GO:0048015;GO:0019751;GO:0043647;GO:0048017;GO:0071676;GO:0007213;GO:0009966;GO:0040019;GO:0007169;GO:0048639;GO:0048638;GO:0002692;GO:2000243;GO:0006796;GO:0008277;GO:0080154;GO:2000344;GO:0048009;GO:0071350;GO:0035723;GO:0060046;GO:0010560;GO:0045663;GO:0051094;GO:2000045;GO:0045927;GO:1900087;GO:0006650;GO:0045661;GO:0032735;GO:1902808;GO:0045995;GO:0007223;GO:0035722;GO:0071349;GO:0032655;GO:0045597;GO:1903507;GO:1901992;GO:0046330;GO:0045892;GO:2000113;GO:0070498;GO:0032874;GO:1903508;GO:0046328;GO:0046488;GO:0035567;GO:0000086;GO:0044839;GO:0001819;GO:0071347;GO:0019221;GO:0044772;GO:0051240;GO:0045893;GO:0006355,ger
ERBB4,GO:0007399;GO:0030334;GO:0014032;GO:0001755;GO:0001667;GO:2000145;GO:0030879;GO:0055023;GO:0070372;GO:0051270;GO:0007169;GO:0048523;GO:0043549;GO:0007167;GO:0038127;GO:0038128;GO:0051896;GO:0033674;GO:0021879;GO:0060644;GO:0072359;GO:0043653;GO:0007595;GO:0046425;GO:0042327;GO:0051347;GO:0060045;GO:0061180;GO:0018212;GO:0001932;GO:0007589;GO:0046777;GO:0031401;GO:0043410;GO:0007507;GO:0070374;GO:0042509;GO:0060043;GO:0018108;GO:0000165;GO:0050731;GO:1904894;GO:0008637;GO:0046427;GO:1902533;GO:0051897;GO:0006468;GO:0042531;GO:0008285;GO:1903508;GO:0030855;GO:0001934;GO:0042127;GO:0048522;GO:0008284;GO:0045893;GO:0006355,ger
RORB,GO:0001754;GO:0035881;GO:0046549;GO:0042670;GO:0046548;GO:0060221;GO:0071300;GO:0042461;GO:0042462;GO:0032526;GO:0030182;GO:0010468;GO:0045596;GO:1901701;GO:0045668;GO:0071396;GO:1903507;GO:0006367;GO:0045892;GO:2000112;GO:0045667;GO:2000113;GO:0006352;GO:1903506;GO:1903508;GO:0045944;GO:0006366;GO:0045893;GO:0006355;GO:0006357,ger
CACNA1G,GO:0086091;GO:0086003;GO:0086012;GO:0086002;GO:0086045;GO:0086001;GO:0086016;GO:0070588;GO:0006816;GO:0086010;GO:0070509;GO:0086046;GO:0019228;GO:0086015;GO:0001508;GO:0098662;GO:0051899;GO:1903307;GO:0048738;GO:0086018;GO:0086067;GO:0003163;GO:0045956;GO:0003161;GO:0017158,nc
PXK,GO:0050804;GO:0099177;GO:0043269;GO:0051051;GO:0032780;GO:0016310;GO:0043271;GO:0006468;GO:0006464;GO:0006954,nc
POU6F2,GO:0007399;GO:0007417;GO:0007601;GO:0050953;GO:0010468;GO:2000112;GO:1903506;GO:0006355;GO:0006357,ger
GABRB1,GO:0007268;GO:0098916;GO:1902476;GO:0098661;GO:0071420;GO:0006821;GO:0034776;GO:0071407;GO:0071417;GO:0006811,nc
MYCL,GO:0006355;GO:0006357,ger
DPP6,GO:0043266;GO:1901379;GO:0072657;GO:1904062;GO:0072659;GO:1990778,ion
BRINP1,GO:0045664;GO:0048523;GO:0071300;GO:0045666;GO:0032526;GO:1901701;GO:0071396;GO:0045930;GO:0045597;GO:0045786;GO:0051726;GO:0007346,nsd
CNEP1R1,GO:0035307;GO:0010867;GO:0007077;GO:0051081;GO:0010866;GO:0031401;GO:0090208;GO:0035306;GO:0046889;GO:0035304;GO:0034504;GO:0031328;GO:0033365,cyt
EPHA7,GO:0007411;GO:0007409;GO:0007420;GO:0030155;GO:0007417;GO:0050919;GO:0022407;GO:0070372;GO:0007169;GO:2000116;GO:0043549;GO:0007167;GO:0033674;GO:0006796;GO:0048013;GO:1901216;GO:0042327;GO:0051347;GO:0001932;GO:0043408;GO:0016310;GO:0043525;GO:0050730;GO:0031952;GO:0043523;GO:0043281;GO:0043065,nc
MAGI1,GO:0022407;GO:0022409;GO:0022607;GO:0043933;GO:0065003;GO:0045785,cca
SLC6A1,GO:0007268;GO:0098916;GO:0050808;GO:1902476;GO:0098661;GO:0006821;GO:0034330;GO:0098662;GO:0035725;GO:0006814;GO:0015812;GO:0008306;GO:0015800;GO:0098719;GO:0043090;GO:0098659;GO:0010232;GO:0150104,nc
PRKD3,GO:0007205;GO:0046467;GO:0030148;GO:0006665;GO:1901566,nc
PDE10A,GO:0010754;GO:0010752;GO:1902532,nc
ADTRP,GO:0071407;GO:0010604;GO:0002040;GO:0071676;GO:0050819;GO:0030336;GO:0022408;GO:0002042;GO:0043534;GO:0042758;GO:0048545;GO:0003330;GO:1903531;GO:0050708;GO:1903054;GO:0002686;GO:0140052;GO:2000402;GO:2000401;GO:1900047;GO:1903037;GO:0042327;GO:0010628;GO:0001932;GO:0031401;GO:0002685;GO:1903038;GO:0002683;GO:0010468;GO:0071383;GO:0043491;GO:0032870;GO:0051224;GO:0030193;GO:0061045;GO:0071396;GO:0050709;GO:0030195;GO:0009062;GO:0001676;GO:0001934,ger
RYR2,GO:0086004;GO:0098901;GO:0086002;GO:0060402;GO:0010880;GO:0098911;GO:0097553;GO:0006816;GO:0010881;GO:0010882;GO:0071870;GO:0071872;GO:0071871;GO:0051283;GO:0007204;GO:0051209;GO:0060401;GO:0030001;GO:0055074;GO:0055117;GO:0006874;GO:0006875;GO:0070972;GO:0072503;GO:0086064;GO:0010460;GO:0035584;GO:1901021;GO:0019722;GO:0098735;GO:0051592;GO:0014808;GO:0014897;GO:0060048;GO:0060562;GO:0055010;GO:0071313;GO:1903514;GO:0043279;GO:0031000;GO:0010646;GO:1901894;GO:0003300;GO:0060047;GO:1904019;GO:0071415;GO:0070296;GO:0048562;GO:0008016;GO:0051282;GO:0005513;GO:0003214;GO:0035994;GO:0072599;GO:0014074;GO:0071312;GO:0035050;GO:0086005;GO:0045823;GO:0072594;GO:0006942;GO:0051480;GO:0019932;GO:0032781;GO:0003143;GO:0003007;GO:0006941;GO:1903779;GO:0048522,nc
USF3,GO:0051241;GO:0045596;GO:0010719;GO:0010717,
GRIK5,GO:0007268;GO:0050804;GO:0035249;GO:0099177,nc
DAB1,GO:0007411;GO:0007409,nsd
CUX2,GO:2000463;GO:0031346;GO:0098815;GO:0050769;GO:0051965;GO:0051963;GO:1901890;GO:0051962;GO:0009967;GO:0048814;GO:0061001;GO:0007614;GO:0050775;GO:0060999;GO:0010604;GO:0050890;GO:0061003;GO:0010770;GO:0010976;GO:0010628;GO:0010468;GO:0045892;GO:0000122;GO:0006355;GO:0006357,ger
NRP2,GO:0007411;GO:0007409;GO:0071526;GO:1902285;GO:0048675;GO:1990138;GO:0003148;GO:0001938;GO:0007169;GO:0001936;GO:0048846;GO:1902284;GO:0050679;GO:0061549;GO:0061548;GO:0048485;GO:0010595;GO:0010594;GO:0048010;GO:0010634,nc
PLXNB1,GO:0007411;GO:0007416;GO:0071526;GO:1904862;GO:1902285;GO:0031346;GO:0048812;GO:1902287;GO:0050769;GO:0007162;GO:0050772;GO:0030334;GO:0050770;GO:0030155;GO:2000145;GO:0051336;GO:0031175;GO:0043087;GO:0120039;GO:0048523;GO:0033689;GO:0033688;GO:0051345;GO:1902533;GO:0051493;GO:0043547;GO:0008285;GO:0014068;GO:0033043;GO:0014066,nc
MAP1B,GO:0007409;GO:0048812;GO:0061564;GO:0048667;GO:0001764;GO:0048675;GO:0048699;GO:1990138;GO:1902903;GO:0031114;GO:1901879;GO:0031110,cyt
UNC13C,GO:0007268;GO:0098916;GO:0035249;GO:0050808;GO:0007528;GO:0048791;GO:0016079;GO:0016081,nc
SORCS1,GO:0007218;GO:0006892,nc
APBA1,GO:0007268;GO:0098916;GO:0007399;GO:0006836;GO:0008088;GO:0010970,nc
SORCS3,GO:0007218,nc
NFIB,GO:0007411;GO:0007420;GO:0007417;GO:0042063;GO:0051093;GO:0051241;GO:0010001;GO:0050680;GO:0071679;GO:0021952;GO:0051216;GO:1902894;GO:0002062;GO:1902893;GO:1903508;GO:0000122;GO:0045944;GO:0045893;GO:0006355;GO:0006357,ger
PLCB4,GO:0048015;GO:0019751;GO:0043647;GO:0048017;GO:0006796,nc
NDST4,GO:0015012;GO:0015014;GO:0033692,gly
PLCD3,GO:0048015;GO:0019751;GO:0043647;GO:0048017;GO:0006796,nc
CRTC3,GO:0032793;GO:0042116;GO:0051091;GO:0045944;GO:0045893;GO:0006357,ger
GRIK3,GO:0007268;GO:0007215;GO:0050804;GO:0035249;GO:0099177;GO:0051966;GO:0007216;GO:0050805,nc
DRD1,GO:0007416;GO:0050808;GO:0007399;GO:0051966;GO:0050806;GO:0034329;GO:0030334;GO:0060134;GO:0043266;GO:0051968;GO:0043270;GO:0007200;GO:0071407;GO:0043268;GO:0071870;GO:0010604;GO:0043269;GO:0007204;GO:1904427;GO:0051279;GO:0051482;GO:2000147;GO:0071875;GO:0030335;GO:0051940;GO:0007187;GO:0071869;GO:0010524;GO:0051281;GO:0007191;GO:0071868;GO:0060158;GO:0032102;GO:0051584;GO:1903351;GO:1903350;GO:0010628;GO:0006584;GO:0071880;GO:0007188;GO:0042417;GO:0010468;GO:1901701;GO:0007190;GO:0007189;GO:0050728;GO:0002862;GO:0002861;GO:0050777,ger
GRM5,GO:0007268;GO:0098916;GO:0007215;GO:0050804;GO:0050808;GO:0051966;GO:0007216;GO:0034330;GO:0007200;GO:1904645;GO:0050890;GO:1904646;GO:0035584;GO:1901653;GO:0019722;GO:2001225;GO:0010359;GO:0006448;GO:0061097;GO:0061098;GO:0001932;GO:0050731;GO:0034248;GO:0045860;GO:0010608;GO:0032268;GO:0031399;GO:0042325;GO:2000112;GO:0006417,ger
PPHLN1,GO:0010604;GO:0071168;GO:0090309;GO:0031453;GO:0090308;GO:0045814;GO:0040029;GO:0010629,ger
GABRG2,GO:0007268;GO:0098916;GO:0007416;GO:0060078;GO:1904862;GO:0051932;GO:1902476;GO:0098661;GO:0071420;GO:0006821;GO:0034776;GO:0071407;GO:0071417,nc
HS3ST5,GO:0015012;GO:0050819;GO:0006023;GO:0030201;GO:0051241;GO:0030203;GO:0006024;GO:0006477;GO:0015015;GO:0050818;GO:0051923;GO:0052372;GO:1903900;GO:0046596;GO:0006464,gly
EXOC4,GO:0007268;GO:0098916;GO:0120031;GO:0006893;GO:0044782;GO:0006892;GO:0060271;GO:0070925;GO:0016241;GO:0010506,nc
SLC66A2,GO:0016482;GO:0034204;GO:0045332;GO:0042147;GO:0015914,ion
STRADA,GO:0032147;GO:0016310;GO:0006611;GO:0051168;GO:0045860;GO:0006468;GO:0006886;GO:0006464,ion
