node1,node2,importance
GRM3,GRIA4,0.00046497519360855216
GRM3,GRIK5,0.001005280762910843
GRM3,CAMK2D,0.00018686865223571653
GRM3,HTR2C,0.0004715269897133113
GRM3,PLCB4,0.0003481945022940636
GRM3,HOMER3,0.0005906472215428947
GRIA1,CHRNA7,0.0019982634112238893
GRIA1,CACNA1G,0.00034731300547718996
GRIA1,GRM5,0.00017645387561060488
GRIA1,HTR2A,0.00028127283439971507
GRIA1,GRIK4,0.000454923661891371
GRIA1,GRIA4,0.0003281708341091871
GRIA1,GRIK5,0.0007095084292814138
GRIA1,CAMK2D,0.00023829720157664264
GRIA1,HTR2C,0.0003327962476760149
GRIA1,PLCB4,0.0002457487571518868
GRIA1,HOMER3,0.0006285183480940759
CHRNA7,CACNA1G,0.00353447743691504
CHRNA7,GRM5,0.002365362131968141
CHRNA7,HTR2A,0.0032778219319880013
CHRNA7,GRIK4,0.004065669607371092
CHRNA7,GRIK5,0.0031022136099636555
CHRNA7,HTR2C,0.003354449989274144
CHRNA7,PLCD3,0.004931150935590267
CACNA1G,GRM5,0.0004111182934138924
CACNA1G,HTR2A,0.0005697097512893379
CACNA1G,GRIA4,0.0005804601823911071
CACNA1G,CAMK2D,0.00055520428577438
CACNA1G,HTR2C,0.0005886415601707995
CACNA1G,PLCB4,0.0004346749919932336
GRM5,HTR2A,0.00033294514287263155
GRM5,GRIK4,0.0005384971736930312
GRM5,GRIA4,0.00038845872040838
GRM5,GRIK5,0.0008398514473810793
GRM5,CAMK2D,0.00023766851518303159
GRM5,HTR2C,0.0003939338494092226
GRM5,PLCB4,0.0002908955211751163
GRM5,HOMER3,0.0006268613506108522
HTR2A,GRIK4,0.0007462287321686745
HTR2A,GRIA4,0.0005383112584240737
HTR2A,GRIK5,0.0011638361029326914
HTR2A,HTR2C,0.0005458964151330292
HTR2A,PLCB4,0.0004031111020594835
GRIK4,GRIA4,0.0006676956545561553
GRIK4,GRIK5,0.0014435669872909784
GRIK4,CAMK2D,0.000727228878531605
GRIK4,HTR2C,0.0007636738009750843
GRIK4,HOMER3,0.0019180950475856664
GRIA4,GRIK5,0.0010006828233599665
GRIA4,CAMK2D,0.0005246041691862047
GRIA4,HTR2C,0.0005508956965059042
GRIK5,CAMK2D,0.001134203397668898
GRIK5,HTR2C,0.00119104387704283
GRIK5,HOMER3,0.0029915010090917358
CAMK2D,PLCB4,0.0003928474325221032
HTR2C,PLCB4,0.0004125349223613739
PLCE1,PLCD3,0.0043474328704178325
PLCE1,PLCB4,0.00042574843973852683
PLCD3,PLCB4,0.00284715392626822
